Concept,ImageNet IDs,ImageNet classes,Features
accordion,401,accordion piano accordion squeeze box,"a_musical_instrument, associated_with_polkas, has_buttons, has_keys, inbeh_-_produces_music, is_loud, requires_air, used_by_moving_bellows, worn_on_chest"
airplane,404,airliner,"beh_-_flies, found_in_airports, has_a_propeller, has_engines, has_wings, inbeh_-_crashes, is_fast, is_large, made_of_metal, requires_pilots, used_for_passengers, used_for_transportation, used_for_travel"
alligator,50,American alligator Alligator mississipiensis,"a_reptile, an_animal, beh_-_eats_people, beh_-_swims, has_a_mouth, has_a_tail, has_jaws, has_scales, has_teeth, is_dangerous, is_green, is_long, is_scary, lives_in_Florida, lives_in_swamps, lives_in_water"
ambulance,407,ambulance,"a_van, a_vehicle, has_4_wheels, has_a_siren, has_flashing_lights, is_fast, is_large, is_loud, is_orange, is_red, is_white, requires_caregivers, used_by_hospitals, used_by_paramedics, used_by_sick_people, used_for_emergencies, used_for_injuries, used_for_rescuing, used_for_transportation"
anchor,,,"an_inanimate, found_in_water, found_on_boats, inbeh_-_sinks, is_attached_to_chains, is_attached_to_ropes, is_heavy, is_large, made_of_iron, made_of_metal, used_by_sailors, used_for_holding_boats_still, used_for_staying_stationary, used_on_boats"
ant,310,ant emmet pismire,"an_insect, beh_-_bites, beh_-_crawls, has_6_legs, has_antennae, is_black, is_red, is_small, is_strong, lives_in_a_colony, lives_in_a_hill, lives_in_ground"
apartment,,,"a_house, associated_with_2_bedrooms, found_in_buildings, found_in_high-rises, has_a_balcony, has_a_bathroom, has_a_bedroom, has_a_kitchen, has_bedrooms, has_elevators, has_tenants, has_windows, is_furnished, is_small, made_of_brick, requires_a_landlord, requires_rent, used_for_living_in"
apple,956,custard apple,"a_fruit, eaten_in_pies, eg_-_granny_smith, grows_on_trees, has_a_core, has_seeds, has_skin, is_crunchy, is_delicious, is_green, is_juicy, is_nutritious, is_red, is_round, is_worm_infested, is_yellow, tastes_sour, tastes_sweet, used_for_cider"
apron,411,apron,"has_strings, is_long, made_of_cloth, made_of_cotton, used_for_cleaning, used_for_cooking, worn_around_neck, worn_around_waist, worn_by_cooks, worn_by_women, worn_for_covering_clothes, worn_for_protection, worn_in_kitchens"
armour,490,chain mail ring mail mail chain armor chain armour ring armor ring armour,"is_heavy, is_medieval, is_shiny, is_silver, is_strong, made_of_metal, used_for_covering_body, used_long_ago, worn_by_knights, worn_for_fighting, worn_for_protection"
ashtray,,,"found_in_houses, has_holders, is_dirty, is_round, is_smelly, made_of_glass, made_of_plastic, used_by_smokers, used_for_ashes, used_for_butts, used_for_cigarettes"
asparagus,,,"a_vegetable, eaten_by_cooking, eaten_in_soups, grows_in_gardens, is_edible, is_green, is_healthy, is_long, tastes_bad"
avocado,,,"a_fruit, a_vegetable, has_a_large_pit, has_seeds, is_edible, is_green, is_high_in_fat, is_soft, tastes_good, used_for_making_guacamole"
axe,,,"a_tool, a_weapon, has_a_blade, has_a_handle, has_a_head, has_a_metal_blade, has_a_wooden_handle, is_dangerous, is_heavy, is_sharp, used_by_lumberjacks, used_for_chopping, used_for_chopping_wood, used_for_cutting, used_for_killing, used_in_movies/Jason"
bag,728,plastic bag,"different_colours, different_sizes, found_in_grocery_stores, has_handles, is_breakable, is_useful, made_of_material, made_of_paper, made_of_plastic, used_for_carrying_groceries, used_for_carrying_things, used_for_holding_things"
bagpipe,,,"a_musical_instrument, associated_with_Scotland, has_a_bag, has_pipes, is_loud, is_plaid, requires_air, used_for_music, used_in_marching_bands"
ball,"522, 574, 722, 768, 805, 852","croquet ball, golf ball, ping-pong ball, rugby ball, soccer ball, tennis ball","different_colours, is_fun, is_hard, is_round, used_by_bouncing, used_by_throwing, used_for_games, used_for_playing, used_for_sports"
balloon,417,balloon,"associated_with_hot_air_balloons, different_colours, inbeh_-_bursts, inbeh_-_expands, inbeh_-_floats, inbeh_-_produces_a_loud_noise_when_popped, is_colourful, is_large, is_light_weight, is_round, made_of_plastic, made_of_rubber, requires_air, requires_helium, requires_hot_air, used_at_parties, used_by_children, used_by_clowns"
