norm,norm (language),num. concepts,concepts
a_bird,is a bird,39,"blackbird, bluejay, budgie, buzzard, canary, chickadee, chicken, crow, dove, duck, eagle, emu, falcon, finch, flamingo, goose, hawk, nightingale, oriole, ostrich, owl, parakeet, partridge, peacock, pelican, penguin, pheasant, pigeon, raven, robin, rooster, seagull, sparrow, starling, stork, swan, turkey, vulture, woodpecker"
a_building,is a building,6,"barn, cathedral, church, inn, shed, skyscraper"
a_carnivore,is a carnivore,11,"buzzard, cheetah, coyote, dog, eagle, fox, hyena, leopard, lion, panther, tiger"
a_cat,is a cat,5,"cheetah, cougar, lion, panther, tiger"
a_container,is a container,5,"barrel, bottle, box, jar, mug"
a_fish,is a fish,16,"catfish, cod, dolphin, eel, goldfish, guppy, mackerel, minnow, octopus, perch, salamander, salmon, sardine, squid, trout, tuna"
a_food,is a food,9,"biscuit, bread, cheese, olive, parsley, pickle, pie, rice, walnut"
a_fruit,is a fruit,29,"apple, avocado, banana, blueberry, cantaloupe, cherry, coconut, cranberry, grape, grapefruit, honeydew, lemon, lime, mandarin, nectarine, olive, orange, peach, pear, pineapple, plum, prune, pumpkin, raisin, raspberry, rhubarb, strawberry, tangerine, tomato"
a_gun,is a gun,6,"bazooka, bullet, pistol, revolver, rifle, shotgun"
a_herbivore,is a herbivore,5,"caribou, deer, elk, hare, moose"
a_house,is a house,6,"apartment, bungalow, cottage, house, hut, shell"
a_mammal,is a mammal,42,"bat_(animal), bear, beaver, bison, buffalo, bull, camel, caribou, cat, cheetah, chimp, chipmunk, cougar, cow, coyote, deer, dog, dolphin, donkey, elephant, elk, fawn, fox, giraffe, goat, gorilla, hamster, hyena, lion, mink, moose, otter, ox, pig, platypus, porcupine, seal, sheep, squirrel, walrus, whale, zebra"
a_musical_instrument,is a musical instrument,18,"accordion, bagpipe, banjo, cello, clarinet, drum, flute, guitar, harmonica, harp, harpsichord, keyboard_(musical), piano, saxophone, trombone, trumpet, tuba, violin"
a_pet,is a pet,11,"budgie, canary, cat, dog, goldfish, hamster, iguana, parakeet, python, rabbit, turtle"
a_predator,is a predator,9,"cougar, eagle, falcon, hawk, hyena, leopard, lion, panther, tiger"
a_reptile,is a reptile,8,"alligator, crocodile, iguana, python, rattlesnake, salamander, tortoise, turtle"
a_rodent,is a rodent,5,"groundhog, hamster, mole_(animal), mouse, rat"
a_scavenger,is a scavenger,5,"buzzard, crow, hyena, raven, vulture"
a_tool,is a tool,18,"axe, chisel, clamp, crowbar, drill, hammer, hatchet, hoe, level, pliers, rake, scissors, screwdriver, shovel, sledgehammer, spade, tomahawk, wrench"
a_toy,is a toy,5,"doll, kite, rattle, slingshot, wagon"
a_tree,is a tree,5,"birch, cedar, oak, pine, willow"
a_utensil,is a utensil,12,"colander, fork, grater, knife, ladle, pencil, pot, racquet, spatula, spoon, strainer, tongs"
a_vegetable,is a vegetable,28,"asparagus, avocado, beans, beets, broccoli, cabbage, carrot, cauliflower, celery, corn, cucumber, eggplant, lettuce, mushroom, olive, onions, parsley, peas, pickle, potato, pumpkin, radish, rhubarb, spinach, tomato, turnip, yam, zucchini"
a_vehicle,is a vehicle,10,"ambulance, bus, car, dunebuggy, jeep, motorcycle, scooter, tricycle, truck, van"
a_weapon,is a weapon,29,"axe, bazooka, bomb, bow_(weapon), cannon, catapult, crossbow, crowbar, dagger, grenade, gun, harpoon, knife, machete, missile, pistol, revolver, rifle, rock, rocket, shield, shotgun, slingshot, spear, stick, stone, sword, tomahawk, whip"
an_animal,is an animal,99,"alligator, bat_(animal), bear, beaver, bison, blackbird, bluejay, buffalo, bull, calf, camel, caribou, cat, cheetah, chickadee, chicken, chimp, chipmunk, clam, cougar, cow, coyote, crab, crocodile, deer, dog, dolphin, donkey, duck, elephant, elk, emu, falcon, fawn, flamingo, fox, frog, giraffe, goat, goldfish, goose, gopher, gorilla, groundhog, hamster, hare, horse, hyena, iguana, lamb, leopard, lion, lobster, mink, minnow, mole_(animal), moose, mouse, octopus, otter, owl, ox, panther, partridge, peacock, pelican, penguin, perch, pheasant, pig, pigeon, platypus, pony, porcupine, python, rabbit, raccoon, rat, rattlesnake, raven, rooster, salamander, salmon, seal, sheep, skunk, sparrow, squirrel, tiger, toad, tortoise, trout, turkey, turtle, vulture, walrus, whale, woodpecker, zebra"
an_appliance,is an appliance,10,"blender, dishwasher, freezer, fridge, kettle, microwave, mixer, oven, stove, toaster"
an_insect,is an insect,12,"ant, beetle, butterfly, caterpillar, cockroach, flea, grasshopper, hornet, housefly, moth, spider, wasp"
beh_-_builds_nests,living being that builds nests,10,"blackbird, bluejay, eagle, falcon, finch, raven, robin, sparrow, starling, wasp"
beh_-_cannot_fly,living being that cannot fly,7,"chicken, emu, ostrich, peacock, penguin, rooster, turkey"
beh_-_chirps,living being that chirps,6,"blackbird, budgie, canary, chickadee, parakeet, sparrow"
